process_name,lifecycle_stage,category_path,location,unit,ref_flow,description,material_tags,semantic_text,Agricultural land occupation,Climate change,Fossil depletion,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity,Ionising radiation,Marine ecotoxicity,Marine eutrophication,Metal depletion,Natural land transformation,Ozone depletion,Particulate matter formation,Photochemical oxidant formation,Terrestrial acidification,Terrestrial ecotoxicity,Urban land occupation,Water depletion
"Electricity Mix, consumption mix, at consumer, AC, 230-240V",Product-as-a-Service,Energy carriers and technologies > Electricity,GB,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 230-240V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: GB | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0016 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0001 | Human toxicity: 0.0144 | Particulate matter formation: 0.001 | Terrestrial acidification: 0.0035 | Climate change: 0.67 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0016 | Ionising radiation: 0.1259 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0",0.0,0.6699812,0.0,0.00013134,9e-08,0.01435928,0.12590559,8.114e-05,5.547e-05,8.414e-05,0.0,1e-07,0.00095384,0.00160231,0.00347382,1.023e-05,0.0,0.0016407
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,SK,MJ,process steam from natural gas,,natural gas,"Process: Process steam from natural gas, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: SK | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam from natural gas | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0002 | Climate change: 0.0839 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0005 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0",0.0,0.08386352,0.0,2.55e-06,1.06e-06,0.00021583,0.00049231,2.3e-06,6.74e-06,6.716e-05,0.0,0.0,5.059e-05,0.00019416,0.00015558,1.3e-07,0.0,2.76e-06
"Electricity Mix, consumption mix, at consumer, AC, < 1kV",Product-as-a-Service,Energy carriers and technologies > Electricity,EU-27,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, < 1kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: EU-27 | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0015 | Freshwater ecotoxicity: 0.0002 | Marine ecotoxicity: 0.0001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0189 | Particulate matter formation: 0.001 | Terrestrial acidification: 0.0039 | Climate change: 0.5958 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0014 | Ionising radiation: 0.1736 | Metal depletion: 0.0002 | Freshwater eutrophication: 0.0",0.0,0.5958123,0.0,0.00018028,5.8e-07,0.01885173,0.17364564,0.00012052,4.643e-05,0.00018564,0.0,1.4e-07,0.00104279,0.0013775,0.00387421,1.314e-05,0.0,0.00153998
"Process steam from Light fuel oil 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,EU-27,MJ,process steam,,other,"Process: Process steam from Light fuel oil 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: EU-27 | Materials: other | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0006 | Particulate matter formation: 0.0001 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0002 | Climate change: 0.1032 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0001 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",5.59e-06,0.10318796,0.0,4.68e-06,2e-08,0.00061228,0.00013751,4.021e-05,7.64e-06,6.924e-05,-4e-08,0.0,6.599e-05,0.00021295,0.0002012,1.5e-07,8.39e-06,3.138e-05
"Polyethylene terephthalate (PET) granulate, production mix, at plant, amorphous",Raw Materials,Materials production > Plastics,RER,kg,polyethylene terephthalate (PET) granulate,,polyethylene,"Process: Polyethylene terephthalate (PET) granulate, production mix, at plant, amorphous | Category: Materials production > Plastics | Lifecycle Stage: Raw Materials | Location: RER | Materials: polyethylene | Unit: 1 kg | Reference Flow: polyethylene terephthalate (PET) granulate | Description:  | Water depletion: 0.0543 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0006 | Marine eutrophication: 0.0003 | Human toxicity: 0.0056 | Particulate matter formation: 0.0055 | Terrestrial acidification: 0.0142 | Climate change: 3.3716 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.018 | Metal depletion: 0.0003 | Freshwater eutrophication: 0.0",0.0,3.37156258,0.0,0.0001288,2.1e-07,0.0056312,0.0,0.00059957,0.00029317,0.00034652,0.0,0.0,0.00553908,0.01796787,0.01419199,3.544e-05,0.0,0.05431214
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,FI,MJ,Electricity,,other,"Process: Electricity grid mix, consumption mix, at consumer, AC, 230V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: FI | Materials: other | Unit: 1 MJ | Reference Flow: Electricity | Description:  | Water depletion: 0.0038 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0001 | Marine eutrophication: 0.0 | Human toxicity: 0.0089 | Particulate matter formation: 0.0004 | Urban land occupation: 0.0001 | Agricultural land occupation: 0.0001 | Terrestrial acidification: 0.0012 | Climate change: 0.3084 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0009 | Ionising radiation: 0.1145 | Metal depletion: 0.0022 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",9.634e-05,0.30838511,0.0,0.00012103,2e-08,0.00894484,0.11447778,5.47e-05,3.227e-05,0.00221761,-1.04e-06,0.0,0.0003786,0.00086874,0.00118121,5.08e-06,0.00014451,0.00375969
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,LU,MJ,Electricity,,other,"Process: Electricity grid mix, consumption mix, at consumer, AC, 230V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: LU | Materials: other | Unit: 1 MJ | Reference Flow: Electricity | Description:  | Water depletion: 0.0039 | Freshwater ecotoxicity: 0.0012 | Marine ecotoxicity: 0.0011 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.1964 | Particulate matter formation: 0.0002 | Urban land occupation: 0.0001 | Agricultural land occupation: 0.0001 | Terrestrial acidification: 0.0007 | Climate change: 0.5341 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0006 | Ionising radiation: 0.0744 | Metal depletion: 0.001 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",7.708e-05,0.53413468,0.0,0.00124408,2e-08,0.19639902,0.07440002,0.00113031,2.806e-05,0.00102767,-9.71e-06,2e-08,0.00021878,0.00063868,0.00070171,6.4e-06,0.00011562,0.00391357
"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,PT,MJ,process steam,,natural gas,"Process: Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: PT | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.096 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0 | Metal depletion: 0.0 | Natural land transformation: -0.0",2.35e-06,0.09595353,0.0,6.1e-07,0.0,0.00023995,2.262e-05,1.98e-06,2.62e-06,3.889e-05,-2e-08,0.0,3.657e-05,0.0001296,0.00013188,1.6e-07,3.52e-06,3.356e-05
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,SK,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: SK | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0014 | Freshwater ecotoxicity: 0.0003 | Marine ecotoxicity: 0.0001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0159 | Particulate matter formation: 0.0008 | Terrestrial acidification: 0.0032 | Climate change: 0.3528 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.001 | Ionising radiation: 0.2787 | Metal depletion: 0.0002 | Freshwater eutrophication: 0.0",0.0,0.35275339,0.0,0.00027833,1.02e-06,0.01594969,0.27873318,0.00012005,3.284e-05,0.0001644,0.0,2.3e-07,0.0008107,0.00100463,0.00324568,1.263e-05,0.0,0.00139536
"Compressed air, production mix, 7 bar, high efficiency, low power consumption",Raw Materials,Energy carriers and technologies > Mechanical energy,GLO,m3,compressed air,,other,"Process: Compressed air, production mix, 7 bar, high efficiency, low power consumption | Category: Energy carriers and technologies > Mechanical energy | Lifecycle Stage: Raw Materials | Location: GLO | Materials: other | Unit: 1 m3 | Reference Flow: compressed air | Description: ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
